indices,timestamp,laser_peaks,piezo_peaks,lor_A,lor_mean,lor_gamma,lor_d_A,lor_d_mean,lor_d_gamma
1515,-0.00584686,0.0818394,1.4596803629995887,0.07276867220236108,1.4595059483281703,0.002216952322901412,0.006634753962034085,0.00019900420641436373,0.00033572090681644004
1683,-0.00500686,0.038321,1.5706696728767566,0.036349342297790535,1.571444715589581,0.0022549678821902185,0.003587123337602124,0.00022108485800988704,0.0003612018600313461
1856,-0.00414186,0.0152819,1.6849622360240786,0.01492101180151137,1.6851129284287918,0.0027117127069572603,0.0006595725246826176,0.00011821579621803731,0.00018753682287160855
3918,0.00616814,0.0671199,3.0472238846355104,0.06160944523183438,3.047254890192152,0.001365893338559853,0.004791231203773111,0.00010523917896821186,0.00017250274802704997
4081,0.00698314,0.0332012,3.1549099412425243,0.03363310823419752,3.155405306479682,0.0018898267983647225,0.0015118867238287468,8.400336497382306e-05,0.00013067468942165513
4246,0.00780814,0.0178418,3.2639172991576,0.017775081264171936,3.2643649890274715,0.0026639467716235133,0.0015505700698420753,0.00022956923291320424,0.0003758085502326204
6237,0.01776314,0.0620001,4.579272751332848,0.05375501092745256,4.578862563431632,0.0016003646859320832,0.006676440542903653,0.0001956219138924082,0.0003403927864142791
6393,0.01854314,0.0325613,4.682334253361647,0.0298912371108542,4.682423245092485,0.002034349814067747,0.0015327471048898452,0.00010293177461762787,0.00016186806556394922
6552,0.01933814,0.014002,4.7873777073525385,0.011922150782607834,4.787514834872875,0.0026035858412991634,0.0006171858061458413,0.00013298612905410443,0.00020883430542523144
